Categoría;;Código;Producto;Opcion;Precio;Promoción;Stock
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-07-23t134710-494-23863fd45db76915b417532892408647-1024-1024.webp"")";90000;WHEY PROTEIN 7900 - AFA - DOYPACK 1KG - GENTECH;Chocolate;40927;;1
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-07-23t134710-494-23863fd45db76915b417532892408647-1024-1024.webp"")";91000;WHEY PROTEIN 7900 - AFA - DOYPACK 1KG - GENTECH;Frutilla;40927;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-07-23t134710-494-23863fd45db76915b417532892408647-1024-1024.webp"")";89000;WHEY PROTEIN 7900 - AFA - DOYPACK 1KG - GENTECH;Vainilla;40927;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1769705840948-diseosinttulo-2026-01-29t134736.657.png"")";5142;ASHWAGANDHA 1300MG X 60 CAPS - VITATECH;;39900;;14
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-08-06t122856-808-f2e35a2995c8733ee817544943251043-1024-1024.webp"")";4712;COLAGENO SPORT 407GR - ENA SPORT;Fruit Punch;21160;;9
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-08-06t122856-808-f2e35a2995c8733ee817544943251043-1024-1024.webp"")";985;COLAGENO SPORT 407GR - ENA SPORT;Naranja;21160;;21
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-race-12-u1-fb398ee84912c24dc417418992061721-1024-1024.webp"")";4523;Gel Race caja X12 - Mervick;Frutos Rojos;10788;;46
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-race-12-u1-fb398ee84912c24dc417418992061721-1024-1024.webp"")";4524;Gel Race caja X12 - Mervick;Limon;10788;;20
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-race-12-u1-fb398ee84912c24dc417418992061721-1024-1024.webp"")";1009;Gel Race caja X12 - Mervick;Manzana verde;10788;;42
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-race-12-u1-fb398ee84912c24dc417418992061721-1024-1024.webp"")";4525;Gel Race caja X12 - Mervick;Naranja;10788;;20
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/creatine-300-g1-0bc555b27140141c6d16711200670230-1024-1024.webp"")";668;Creatina 300 g Tarro - ULTRA TECH;OPCIÓN;28800;;54
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";3979;Gel GU por unidad;Espresso Love;4020;;51
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";507;Gel GU por unidad;Jet Blackberry;4020;;14
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";508;Gel GU por unidad;Lemon Sublime;4020;;13
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";3976;Gel GU por unidad;Mandarin Orange;4020;;58
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";506;Gel GU por unidad;Salted Caramel;4020;;34
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";509;Gel GU por unidad;Strawberry Banana;4020;;31
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";3978;Gel GU por unidad;Triberry;4020;;39
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-02-22t174929-0761-41b1dbaf80733482b416770992717195-1024-1024.webp"")";3977;Gel GU por unidad;Vainilla Bean;4020;;13
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2021-10-15t201640-9881-eb13ec122adc35626d16343407118693-640-0-fe64651ee943f32f6517419699537264-1024-1024.webp"")";4513;Whey protein bar 65 G - 12 U - Mervick Lab;Banana;17484;;32
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2021-10-15t201640-9881-eb13ec122adc35626d16343407118693-640-0-fe64651ee943f32f6517419699537264-1024-1024.webp"")";4514;Whey protein bar 65 G - 12 U - Mervick Lab;Chocolate;17484;;34
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2021-10-15t201640-9881-eb13ec122adc35626d16343407118693-640-0-fe64651ee943f32f6517419699537264-1024-1024.webp"")";1014;Whey protein bar 65 G - 12 U - Mervick Lab;Frambuesa;17484;;25
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2021-10-15t201640-9881-eb13ec122adc35626d16343407118693-640-0-fe64651ee943f32f6517419699537264-1024-1024.webp"")";4515;Whey protein bar 65 G - 12 U - Mervick Lab;Limon;17484;;16
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-09-30t124013-998-9fe3f641046e2540c917277115208337-1024-1024.webp"")";4204;OMEGA 3 en 30 Cap - GOLD NUTRITION;OPCIÓN;23907;41648;23
